Landscape,Trial,Method,Final Loss,Optimization Error,Reconstruction Error,Best Loss,Steps
sphere,0,Adam,56.04014042202426,56.04014042202426,9.451394689438069e-06,56.040140422024244,500
sphere,0,Hybrid v3.9,7.6574739902805415,7.6574739902805415,5.041747476601855e-15,7.65747399028033,500
sphere,0,Global Hybrid,5.75948985035984,5.75948985035984,1.4045323271898653e-14,5.75948985035984,500
sphere,1,Adam,60.08973892557886,60.08973892557886,6.648261363594291e-06,60.089738925578835,500
sphere,1,Hybrid v3.9,6.85725695210247,6.85725695210247,9.186889388928719e-15,6.85725695210247,500
sphere,1,Global Hybrid,11.072348949064576,11.072348949064576,2.745634760521443e-15,11.072348949064576,500
sphere,2,Adam,28.506156320173456,28.506156320173456,1.207811554220188e-05,28.506156320173453,500
sphere,2,Hybrid v3.9,3.9852891986989984,3.9852891986989984,6.129024166714395e-07,3.9852891986985135,500
sphere,2,Global Hybrid,12.582790570441494,12.582790570441494,9.551192260331885e-16,12.582790570441494,500
rastrigin,0,Adam,76.61147341274668,76.61147341274668,9.022615860513058e-06,76.61147341274665,500
rastrigin,0,Hybrid v3.9,69.64607243645622,69.64607243645622,4.519534656407249e-15,69.64607243645622,500
rastrigin,0,Global Hybrid,5.969749310489519,5.969749310489519,5.82377379854622e-15,5.969749310489519,500
rastrigin,1,Adam,94.52050818216938,94.52050818216938,9.593405275228109e-06,94.52050818216938,500
rastrigin,1,Hybrid v3.9,92.5304309390065,92.5304309390065,3.4705819218791023e-15,92.5304309390065,500
rastrigin,1,Global Hybrid,11.939498662542931,11.939498662542931,1.2473560612486642e-15,11.939498662542931,500
rastrigin,2,Adam,37.80830270052317,37.80830270052317,1.014939253608156e-05,37.80830270052317,500
rastrigin,2,Hybrid v3.9,9.949585533342528,9.949585533342528,9.301207336588553e-15,9.949585533342528,500
rastrigin,2,Global Hybrid,4.9747952896399426,4.9747952896399426,2.479127738279193e-15,4.9747952896399426,500
ackley,0,Adam,8.493442944697144,8.493442944697144,8.265332589739994e-06,8.49344294469714,500
ackley,0,Hybrid v3.9,9.180797701160275,9.180797701160275,2.736281577042009e-07,9.18079770116027,500
ackley,0,Global Hybrid,6.20687048723812,6.20687048723812,7.686078485283064e-06,6.20687048723812,500
ackley,1,Adam,8.926926752230404,8.926926752230404,3.4637162696835797e-06,8.926926752230402,500
ackley,1,Hybrid v3.9,8.813163425656782,8.813163425656782,2.7710360621210253e-06,8.813163425656775,500
ackley,1,Global Hybrid,5.817646824394217,5.817646824394217,8.818195249281449e-16,5.817646824394217,500
ackley,2,Adam,6.422343537443698,6.422343537443698,5.896112928876278e-06,6.422343537443698,500
ackley,2,Hybrid v3.9,9.919525077248172,9.919525077248172,3.031965134191466e-08,9.91952507724816,500
ackley,2,Global Hybrid,6.559606036489331,6.559606036489331,2.4689728057835127e-15,6.559606036489331,500
schwefel,0,Adam,3345.510238030008,3345.510238030008,8.908290423649917e-06,3345.510238030008,500
schwefel,0,Hybrid v3.9,4150.375983747156,4150.375983747156,1.4608909397505086e-05,4150.375983747156,500
schwefel,0,Global Hybrid,2175.4060158709567,2175.4060158709567,6.2221665967959804e-15,2175.4060158709567,500
schwefel,1,Adam,4240.227335063481,4240.227335063481,2.2014241943175015e-06,4240.227335063481,500
schwefel,1,Hybrid v3.9,4150.375983747156,4150.375983747156,1.1993208994718902e-05,4150.375983747156,500
schwefel,1,Global Hybrid,1525.9537210856565,1525.9537210856565,4.593428403048241e-06,1525.9537210856565,500
schwefel,2,Adam,4094.9694808297677,4094.9694808297677,6.916882629921232e-06,4094.9694808297677,500
schwefel,2,Hybrid v3.9,4150.375983747156,4150.375983747156,1.3725706167653024e-05,4150.375983747156,500
schwefel,2,Global Hybrid,2349.711819118402,2349.711819118402,3.711852547122965e-06,2349.711819118402,500
griewank,0,Adam,0.0221599195813712,0.0221599195813712,1.3516972878922397e-05,0.0221599195813712,500
griewank,0,Hybrid v3.9,0.024261947063252576,0.024261947063252576,7.600582595794843e-06,0.024261947063252576,500
griewank,0,Global Hybrid,0.06584998392630892,0.06584998392630892,5.704198322901733e-15,0.06584998392630892,500
griewank,1,Adam,0.010193444125244588,0.010193444125244588,6.1849953596050795e-06,0.010193444125244588,500
griewank,1,Hybrid v3.9,0.04343230384498997,0.04343230384498997,7.695780778565608e-06,0.04343230384498997,500
griewank,1,Global Hybrid,0.043692251855974695,0.043692251855974695,1.405135471095833e-15,0.043692251855974695,500
griewank,2,Adam,0.007397442926014075,0.007397442926014075,3.988439912872283e-06,0.007397442926014075,500
griewank,2,Hybrid v3.9,0.26476105216741985,0.26476105216741985,8.609106643965326e-06,0.26476105216741985,500
griewank,2,Global Hybrid,0.03211288947605129,0.03211288947605129,2.819201174334528e-15,0.03211288947605129,500
